index,name,place,time,type,spend,mood
235,The Great Wall of China,China,1-2 days,Historical,$100-200,"Majestic, Inspiring"
236,The Great Wall of China (Hiking),China,Variable,Historical,Variable,"Challenging, Rewarding"
237,The Great Wall of China (Huanghuacheng section),"Beijing, China",Half Day,Historical,$20-40,LessCrowded
238,The Great Wall of China (Jinshanling Section),Beijing Area,Half Day,Historical,$30-50,"LessCrowded, Scenic"
239,"The Greek Islands (Santorini, Mykonos)",Greece,1-2 days (flight + ferry),"Beach, Culture",$150-250,"Picturesque, Lively"
240,"The Hawaiian Islands (Maui, Kauai)","Hawaii, USA",1-2 days (flight),"Beach, Adventure",$200-300,"Lush, Active"
241,The Himalayas,Asia (multiple countries),1-2 weeks (trekking),"Mountains, Adventure",$200-300,"Challenging, awe-inspiring"
242,The Inca Trail,Peru,4-5 days (trek),"Historical, Adventure, Hike",$200-300,"Challenging, Rewarding"
243,The John Muir Trail,"California, USA",2-3 weeks (hike),"Hiking, Wilderness",$150-200,"Scenic, Remote"
244,The Kremlin,"Moscow, Russia",Half Day,Historical,$20-40,Grand
245,The Las Vegas Strip,"Nevada, USA",1-3 days,"Entertainment, Gambling",$150-300,"Glittering, Non-Stop"
246,The Leaning Tower of Pisa,"Pisa, Italy",Half day,"Historical, Architectural",$100-200,"Whimsical, Fun, Picturesque"
247,The Louvre Museum,"Paris, France",1-2 days,"Art, Museum",$150-250,"Cultural, Inspiring, Artistic"
248,The Maldives,South Asia,1-2 days (flight + transfer),"Beach, Relaxation",$300-500,"Luxurious, Tranquil"
249,The Masai Mara,Kenya,2-3 Days,Safari,$300-500,Wild
250,"The Mayan Riviera (Tulum, Cancun)",Mexico,1-2 days (flight),"Beach, History",$150-250,"Ancient, Lively"
251,The Metropolitan Museum of Art,"New York City, USA",1-2 days,"Art, Museum",$150-250,"Cultural, Grand, Inspiring, Enriching"
252,The Milford Track (Multi-Day Hike),"Fiordland National Park, New Zealand",4-5 Days,"Hike, Nature, Hiking, ScenicBeauty",$500-1000,"Challenging, Scenic, Breathtaking, Unforgettable"
253,The Napa Valley,"California, USA",1-2 days,"WineRegion, Culinary",$200-300,"Luxurious, Sophisticated"
254,The Northern Lights,Arctic Circle,2-4 days,NaturalPhenomenon,$200-300,"Ethereal, Magical"
255,The Northern Lights,Arctic Circle,Variable,NaturalWonder,$100-200,Ethereal
256,The Okavango Delta,Botswana,1-2 weeks (safari),"Wildlife, Adventure",$500-1000,"Luxurious, Untamed"
257,The Oktoberfest (Opening Ceremony),"Munich, Germany",Variable,Festival,Variable,"Lively, Celebratory"
258,The Outback,Australia,1-2 weeks (road trip),"NaturalLandscape, Adventure",$150-200,"Remote, Unforgettable"
259,The Palace of Versailles (Gardens Show),"Versailles, France",1 Day,Palace,Variable,Spectacular
260,The Patagonia Region,Argentina & Chile,1-2 weeks,"Hiking, Adventure",$200-300,"Rugged, Untamed"
261,The Polynesian Cultural Center,"Oahu, Hawaii, USA",Half Day,Cultural,$75-100,Immersive
262,The Pyramids of Giza,Egypt,1-2 days,Historical,$150-250,"Ancient, Mysterious"
263,The Rijksmuseum,"Amsterdam, Netherlands",1 day,Art,$100-150,"Historical, Cultural"
264,The Ring Road,Iceland,1-2 weeks (road trip),"NaturalWonders, Adventure",$200-300,"Dramatic, Otherworldly"
265,The Rockies,North America (Canada & USA),1-2 weeks (hiking/skiing),"Mountains, Adventure",$150-250,"Majestic, Wild"
266,The Romantic Road,Germany,1-2 weeks (road trip),"ScenicDrive, Castles",$100-200,"Charming, Historical"
267,The Sagrada Familia (Christmas Mass),"Barcelona, Spain",Half Day,Church,Variable,"Spiritual, Uplifting"
268,The Scottish Highlands,Scotland,1-2 weeks (road trip),"Mountains, Scenery, Nature",$100-200,"Dramatic, Untamed, Rugged"
269,The Serengeti National Park,Tanzania,1-2 weeks (safari),"Wildlife, Adventure, Safari",$300-500,"Untamed, Diverse"
270,The Seychelles,East Africa,1-2 days (flight + transfer),"Beach, Relaxation",$300-500,"Secluded, Pristine"
271,The Sheikh Zayed Grand Mosque,"Abu Dhabi, UAE",Half day,"Religious, Architectural",$75-150,"Serene, Opulent"
272,The Sheikh Zayed Road,"Dubai, UAE",Half day,Modern Cityscape,$150-250,"Futuristic, Extravagant"
273,The Silk Road,Central Asia,Varies (multi-country),"HistoricalRoute, Culture",$150-250,"Adventurous, Diverse"
274,The Taj Mahal,"Agra, India",1-2 days,"Historical, Architectural",$75-150,"Serene, Beautiful"
275,The Taj Mahal (Full Moon Viewing),"Agra, India",1 Day,Historical,Variable,Romantic
276,The Terracotta Army,"Xi'an, China",1-2 days,Historical,$100-200,"Impressive, Ancient"
277,The Vatican Museums,Vatican City,1-2 days,"Art, Religious",$100-200,"Sacred, Artistic"
278,The White House,"Washington D.C., USA",Half day,Historical,$100-200,"Political, Imposing"
279,Times Square,"New York City, USA",Half day,"Entertainment, CityLife",$150-250,"Bustling, Electric"
280,Tuscany,Italy,1-2 days,"Countryside, FoodWine",$150-250,"Rustic, Charming"
281,Uluru (Ayers Rock),"Northern Territory, Australia",1-2 Days,NaturalWonder,$100-200,Sacred
282,Uluru (Sunrise/Sunset),"Northern Territory, Australia",1-2 Days,Natural Wonder,Variable,Awe-inspiring
283,Universal Studios Florida,"Orlando, Florida, USA",3-5 days,"ThemePark, Thrills",$150-250,"Exciting, Action-Packed"
284,Universal Studios Hollywood (VIP Tour),"Los Angeles, California, USA",1 Day,ThemePark,Variable,"Exclusive, Thrilling"
285,Varanasi,Uttar Pradesh,2-3 Days,"Religious, Cultural",1500,"Spiritual, intense"
286,Varanasi (Holy City),"Uttar Pradesh, India",1-2 Days,Religious,Variable,Spiritual
287,Victoria Falls,Zambia & Zimbabwe,1-2 days,NaturalWonder,$150-250,"Thundering, Untamed, Powerful"
288,Victoria Falls (Bungee Jumping),Zambia/Zimbabwe Border,1-2 Days,Adventure,$150-200,"Thrilling, Powerful"
289,Victoria Memorial,"Kolkata, West Bengal",Half Day,Historical,1000,"Marble palace, colonial architecture"
290,Wagah Border Retreat Ceremony (India-Pakistan Border),"Amritsar, Punjab",Half Day,"Cultural, Historical",1000,Witness patriotic border ceremony
291,Waitomo Caves,"Waikato, New Zealand",Half Day,Natural Wonder,$50-100,GlowwormMagic
292,Walt Disney World Resort,"Orlando, Florida, USA",3-7 days,"ThemePark, FamilyFun",$200-300,"Enchanting, Energetic"
293,Wayanad (Hill station),Kerala,2-3 Days,"HillStation, Nature",3500,"Lush greenery, adventure"
294,Wayanad Wildlife Sanctuary,Kerala,2-3 Days,"Wildlife, Nature",4000,"Diverse wildlife, trekking opportunities"
295,Wildlife Sanctuary Boat Safari (Kaziranga/Kanha),Assam/Madhya Pradesh,Half Day,Wildlife,2000 (activity cost),Observe wildlife from a unique perspective
296,Wildlife Sanctuary Jeep Safari (Bandhavgarh/Kanha),Madhya Pradesh,1 Day,Wildlife,3000 (activity cost),"Exciting exploration, diverse wildlife"
297,Wildlife Sanctuary Jeep Safari (Kaziranga/Kanha),Assam/Madhya Pradesh,1 Day,Wildlife,3000 (activity cost),"Exciting exploration, diverse wildlife"
298,Wildlife Sanctuary Night Safari (Pench/Bandhavgarh),Madhya Pradesh,Half Day,Wildlife,2500 (activity cost),"Spot nocturnal animals, unique experience"
299,Yosemite National Park,"California, USA",1-2 weeks (hiking),"Mountains, Nature",$150-250,"Majestic, Grandiose"
